step,compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L0_0,__PARA__L0_1,__PARA__L0_1_0,__PARA__L0_2,__PARA__L0_2_0,__PARA__L0_3,__PARA__L0_3_0,__PIPE__L0,__PIPE__L0_1,__PIPE__L0_2,__PIPE__L0_3,__TILE__L0,__TILE__L0_1,__TILE__L0_2,__TILE__L0_3,pragma1,pragma2,pragma3,pragma4,pragma5,pragma6,pragma7,pragma8,pragma9,pragma10,pragma11,pragma12,pragma13,pragma14,pragma15,pragma16
10,03min 10sec,623205 (2.493ms),29831 (2%),26290 (1%),280 (6%),28 (~0%),0 (~0%),,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,03min 14sec,573445 (2.294ms),26638 (2%),23796 (1%),216 (5%),28 (~0%),0 (~0%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1,03min 16sec,623205 (2.493ms),29831 (2%),26290 (1%),280 (6%),28 (~0%),0 (~0%),1.0,1.0,59.0,1.0,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2,05min 25sec,389443 (1.558ms),368993 (31%),360526 (15%),120 (2%),1588 (23%),0 (~0%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
3,07min 25sec,240574 (1.037ms),210232 (17%),223942 (9%),120 (2%),355 (5%),0 (~0%),1.0,1.0,1.0,8.0,1.0,1.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
4,06min 28sec,290323 (1.251ms),188742 (15%),219714 (9%),152 (3%),355 (5%),0 (~0%),1.0,1.0,59.0,8.0,1.0,1.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
5,07min 30sec,53374 (0.23ms),278867 (23%),316276 (13%),120 (2%),1114 (16%),0 (~0%),1.0,1.0,1.0,8.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
6,06min 38sec,126443 (0.545ms),257377 (21%),312048 (13%),152 (3%),1114 (16%),0 (~0%),1.0,1.0,59.0,8.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
7,06min 43sec,36854 (0.147ms),402649 (34%),413035 (17%),120 (2%),1588 (23%),0 (~0%),8.0,1.0,1.0,8.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
8,05min 54sec,109923 (0.44ms),373671 (31%),398886 (16%),152 (3%),1588 (23%),0 (~0%),8.0,1.0,59.0,8.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
9,06min 42sec,25054 (0.1ms),433020 (36%),425168 (17%),120 (2%),1588 (23%),0 (~0%),8.0,1.0,1.0,16.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10,06min 05sec,98123 (0.392ms),392668 (33%),401569 (16%),152 (3%),1588 (23%),0 (~0%),8.0,1.0,59.0,16.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11,03min 09sec,573445 (2.294ms),26638 (2%),23796 (1%),216 (5%),28 (~0%),0 (~0%),,,,,,,,,,,,,,,,,8.0,1.0,59.0,16.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0
