compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L2,__TILE__L0,__TILE__L2
05min 03sec,173981 (0.696ms),47080 (3%),45521 (1%),350 (8%),352 (5%),8 (~0%),1,4,4,16,off,off,1,1
05min 18sec,30529 (0.122ms),77500 (6%),77997 (3%),246 (5%),576 (8%),4 (~0%),1,4,10,20,off,off,1,1
07min 00sec,39498 (0.158ms),54770 (4%),49201 (2%),174 (4%),368 (5%),4 (~0%),8,4,6,16,off,off,1,1
07min 00sec,40910 (0.164ms),54779 (4%),49220 (2%),174 (4%),368 (5%),4 (~0%),10,4,6,16,off,off,1,1
06min 49sec,45207 (0.181ms),51674 (4%),46172 (1%),270 (6%),368 (5%),4 (~0%),16,4,6,16,off,off,1,1
06min 40sec,33341 (0.133ms),47920 (4%),47935 (2%),206 (4%),368 (5%),4 (~0%),1,16,6,16,off,off,1,1
06min 12sec,39449 (0.158ms),46081 (3%),52492 (2%),250 (5%),368 (5%),0 (~0%),1,4,5,16,off,off,1,1
06min 36sec,51969 (0.208ms),54423 (4%),55007 (2%),166 (3%),356 (5%),4 (~0%),1,4,6,10,off,off,1,1
80min 00sec,,,,,,,1,4,6,16,flatten,off,1,1
07min 00sec,37368 (0.149ms),54763 (4%),49210 (2%),174 (4%),370 (5%),4 (~0%),5,4,10,16,off,off,1,1
06min 55sec,40910 (0.164ms),54777 (4%),49239 (2%),174 (4%),368 (5%),4 (~0%),10,4,10,16,off,off,1,1
06min 49sec,45207 (0.181ms),51672 (4%),46191 (1%),270 (6%),368 (5%),4 (~0%),16,4,10,16,off,off,1,1
06min 39sec,33341 (0.133ms),47947 (4%),47968 (2%),206 (4%),368 (5%),4 (~0%),1,16,10,16,off,off,1,1
08min 35sec,38701 (0.16ms),52691 (4%),46294 (1%),206 (4%),368 (5%),4 (~0%),1,10,10,16,off,off,1,1
06min 13sec,39449 (0.158ms),46081 (3%),52492 (2%),250 (5%),368 (5%),0 (~0%),1,4,5,16,off,off,1,1
06min 33sec,51969 (0.208ms),54453 (4%),55040 (2%),166 (3%),356 (5%),4 (~0%),1,4,10,10,off,off,1,1
06min 27sec,58541 (0.234ms),29161 (2%),27315 (1%),142 (3%),192 (2%),4 (~0%),1,4,10,8,off,off,1,1
80min 00sec,,,,,,,1,6,6,16,off,off,1,1
80min 00sec,,,,,,,1,4,6,4,off,off,1,1
80min 00sec,,,,,,,1,4,6,16,off,flatten,1,1
80min 00sec,,,,,,,1,8,3,16,off,off,1,1
80min 00sec,,,,,,,1,8,6,8,off,off,1,1
05min 08sec,586320 (2.345ms),17163 (1%),13294 (~0%),62 (1%),22 (~0%),16 (1%),4,1,1,1,off,off,1,1
04min 57sec,529181 (2.117ms),14353 (1%),12981 (~0%),94 (2%),38 (~0%),16 (1%),1,4,1,1,off,off,1,1
04min 58sec,404251 (1.617ms),16326 (1%),18177 (~0%),250 (5%),38 (~0%),0 (~0%),1,1,3,1,off,off,1,1
05min 06sec,245981 (0.984ms),20428 (1%),18070 (~0%),158 (3%),88 (1%),8 (~0%),1,1,1,4,off,off,1,1
08min 32sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,1,off,flatten,1,1
05min 07sec,586320 (2.345ms),17163 (1%),13294 (~0%),62 (1%),22 (~0%),16 (1%),1,1,1,1,off,off,4,1
05min 04sec,743269 (2.973ms),15063 (1%),13686 (~0%),62 (1%),22 (~0%),16 (1%),1,1,1,1,off,off,1,4
05min 34sec,442894 (1.772ms),20050 (1%),20161 (~0%),218 (5%),38 (~0%),0 (~0%),4,1,3,1,off,off,1,1
05min 29sec,436734 (1.747ms),20907 (1%),22934 (~0%),218 (5%),70 (1%),0 (~0%),4,8,3,1,off,off,1,1
06min 08sec,585440 (2.342ms),17758 (1%),16610 (~0%),62 (1%),70 (1%),16 (1%),4,8,4,1,off,off,1,1
06min 07sec,268640 (1.075ms),24057 (2%),20974 (~0%),126 (2%),88 (1%),8 (~0%),4,8,4,4,off,off,1,1
05min 55sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),4,1,1,4,off,off,1,1
06min 07sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
05min 55sec,250781 (1.003ms),19989 (1%),17863 (~0%),158 (3%),88 (1%),8 (~0%),1,1,4,4,off,off,1,1
04min 43sec,197981 (0.792ms),28057 (2%),26424 (1%),222 (5%),176 (2%),8 (~0%),1,1,1,8,off,off,1,1
09min 17sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,4,off,flatten,1,1
06min 06sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,4,1
05min 56sec,455269 (1.821ms),21858 (1%),20287 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,1,4
05min 33sec,275538 (1.102ms),24060 (2%),19917 (~0%),126 (2%),90 (1%),8 (~0%),5,1,1,4,off,off,1,1
05min 41sec,248541 (1.027ms),21345 (1%),18782 (~0%),158 (3%),88 (1%),8 (~0%),1,5,1,4,off,off,1,1
05min 26sec,111485 (0.446ms),34565 (2%),25545 (1%),186 (4%),104 (1%),8 (~0%),1,1,2,4,off,off,1,1
05min 21sec,341981 (1.368ms),16408 (1%),13602 (~0%),158 (3%),44 (~0%),8 (~0%),1,1,1,2,off,off,1,1
05min 28sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
05min 32sec,586148 (2.345ms),35120 (2%),26340 (1%),154 (3%),104 (1%),8 (~0%),1,1,1,4,off,off,1,2
05min 43sec,216720 (0.867ms),31685 (2%),28254 (1%),190 (4%),176 (2%),8 (~0%),4,1,1,8,off,off,1,1
